Designator,Footprint,Quantity,Value,LCSC Part #
"3.3V, GND, PA15, SWC, SWD",TestPoint_Pad_D1.0mm,5,TestPoint_Probe,
"C1, C10, C2, C9",0603,4,1uF,
"C11, C12, C14, C20, C7, C8",0603,6,100nF,
C13,0603,1,4.7uF,
"C17, C3",0603,2,10nF,
"DFU1, LMB1, MACRO1, MACRO2, MMB1, RMB1",SW_PUSH_6mm_H7.3mm_2-Pin,6,SW_Push,
"LED1, LED2",LED_D5.0mm-4_RGB,2,LED_RGBA,
MCU1,LQFP-32_7x7mm_P0.8mm,1,STM32G431KBT6,
R1,0603,1,39,
"R10, R11, R8, R9",0603,4,33,
"R12, R13, R14, R15, R16, R17",0603,6,150,
"R2, R3",0603,2,5.1k,
"R4, R5, R6",0603,3,10k,
R7,0603,1,100k,
REG1,SOT-23-5,1,AP2112K-3.3,
REG2,DBV0005A_N,1,TLV75519PDBVR,
SENSOR1,PMW3360,1,PMW3360DM-T2QU,
USB1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_14P,
WHEEL1,TRIM_EC10E1220501,1,EC10E1220501,
