Designator,Mid X,Mid Y,Rotation,Layer
3.3V,131.2,-97.5,0.0,top
C1,146.7,-105.625,90.0,top
C10,138.699998,-114.6,90.0,top
C11,164.6,-121.9,0.0,top
C12,142.225,-128.1,180.0,top
C13,142.225,-126.5,180.0,top
C14,142.25,-129.7,0.0,top
C17,158.275,-123.8,180.0,top
C2,145.699998,-113.275,0.0,top
C20,142.125,-134.1,0.0,top
C3,142.7,-123.6,90.0,top
C7,155.0,-115.4,180.0,top
C8,156.9,-111.2,180.0,top
C9,154.2,-104.65,0.0,top
DFU1,167.7,-101.5,180.0,top
GND,131.2,-109.5,0.0,top
LED1,163.995,-139.9,180.0,top
LED2,134.125,-137.995,270.0,top
LMB1,133.08,-91.34,180.0,top
MACRO1,133.1,-116.1,180.0,top
MACRO2,133.1,-130.4,180.0,top
MCU1,161.8,-115.8,270.0,top
MMB1,140.6,-91.0,180.0,top
PA15,131.2,-100.5,0.0,top
R1,158.275,-126.6,0.0,top
R10,158.275,-132.3,0.0,top
R11,158.275,-134.0,0.0,top
R12,139.025,-139.7,180.0,top
R13,139.025,-138.0,180.0,top
R14,139.025,-136.3,180.0,top
R15,168.1,-135.1,270.0,top
R16,166.4,-135.1,270.0,top
R17,164.7,-135.1,270.0,top
R2,156.58,-77.45,90.0,top
R3,143.83,-77.45,90.0,top
R4,142.125,-132.4,180.0,top
R5,155.0,-113.8,180.0,top
R6,159.0,-109.2,180.0,top
R7,158.175,-136.0,0.0,top
R8,158.275,-130.6,0.0,top
R9,158.275,-128.9,0.0,top
REG1,150.4,-105.6,180.0,top
REG2,141.824999,-114.3,0.0,top
RMB1,167.7,-91.55,180.0,top
SENSOR1,150.18,-129.346009,0.0,top
SWC,131.2,-103.5,0.0,top
SWD,131.2,-106.5,0.0,top
USB1,150.18,-74.85,180.0,top
WHEEL1,160.0,-90.9,270.0,top
