Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0603_1608Metric",141.350000,-74.975000,90.000000,top
"C2","4.7uF","C_0603_1608Metric",132.850000,-120.150000,-90.000000,top
"C3","100nF","C_0603_1608Metric",136.600000,-119.200000,180.000000,top
"C4","100nF","C_0603_1608Metric",136.600000,-122.700000,180.000000,top
"C5","10uF","C_0603_1608Metric",136.650000,-120.950000,0.000000,top
"C7","100nF","C_0603_1608Metric",138.550000,-106.250000,-90.000000,top
"C8","100nF","C_0603_1608Metric",139.550000,-100.850000,0.000000,top
"C9","1uF","C_0603_1608Metric",148.850000,-74.925000,-90.000000,top
"C11","100nF","C_0603_1608Metric",147.150000,-112.150000,0.000000,top
"C15","100nF","C_0603_1608Metric",144.610000,-96.650000,180.000000,top
"C16","100nF","C_0603_1608Metric",122.950000,-94.250000,180.000000,top
"C17","100nF","C_0603_1608Metric",143.650000,-140.250000,180.000000,top
"CHANGER1","SW_Push","SW_PUSH_6mm_H4.3mm",107.400000,-90.800000,-90.000000,top
"D1","WS2812B","LED_D5.0mm-4_RGB",142.710000,-92.150000,0.000000,top
"D2","WS2812B","LED_D5.0mm-4_RGB",121.110000,-89.950000,0.000000,top
"D3","WS2812B","LED_D5.0mm-4_RGB",142.010000,-136.050000,0.000000,top
"DB-Connect1","Conn_01x04_Pin","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",105.150000,-105.150000,0.000000,top
"EDIT1","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",154.950000,-108.570000,180.000000,top
"LMB1","SW_Push","SW_PUSH_6mm_H4.3mm",125.900000,-79.200000,0.000000,top
"MB-Connect1","Conn_01x04_Pin","JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal",122.950000,-103.450000,0.000000,top
"MMB1","SW_Push","SW_PUSH_6mm_H4.3mm",153.400000,-94.000000,90.000000,top
"R1","10k","R_0603_1608Metric",136.550000,-126.250000,180.000000,top
"R2","5.1k","R_0603_1608Metric",138.850000,-64.450000,90.000000,top
"R3","5.1k","R_0603_1608Metric",151.650000,-64.425000,90.000000,top
"R4","39","R_0603_1608Metric",151.750000,-116.050000,90.000000,top
"R5","10k","R_0603_1608Metric",138.550000,-103.150000,90.000000,top
"R6","10k","R_0603_1608Metric",141.025000,-97.750000,180.000000,top
"REGULATOR1","AP2112K-3.3","SOT-23-5",145.050000,-74.950000,0.000000,top
"RMB1","SW_Push","SW_PUSH_6mm_H4.3mm",156.100000,-78.800000,0.000000,top
"SENSOR1","PMW3360DM-T2QU","PMW3360",144.450000,-122.250000,0.000000,top
"U1","STM32G431KBT6","LQFP-32_7x7mm_P0.8mm",144.625000,-105.650000,0.000000,top
"USB1","USB_C_Receptacle_USB2.0_14P","USB_C_Receptacle_HRO_TYPE-C-31-M-12",145.350000,-65.550000,0.000000,top
"WHEEL1","EC10E1220501","TRIM_EC10E1220501",138.196000,-84.050000,90.000000,top
